State,Year,Quarter,Brands,Count,Percentage
andaman-&-nicobar-islands,2018,4,Xiaomi,3719,0.24431743529102615
andaman-&-nicobar-islands,2018,4,Samsung,2936,0.19287872815661541
andaman-&-nicobar-islands,2018,4,Vivo,2742,0.1801340165549862
andaman-&-nicobar-islands,2018,4,Oppo,1268,0.08330048613848377
andaman-&-nicobar-islands,2018,4,Realme,760,0.04992773617133097
andaman-&-nicobar-islands,2018,4,OnePlus,721,0.0473656549730653
andaman-&-nicobar-islands,2018,4,Motorola,474,0.031139140717382736
andaman-&-nicobar-islands,2018,4,Apple,455,0.02989094731309946
andaman-&-nicobar-islands,2018,4,Huawei,398,0.02614636710024964
andaman-&-nicobar-islands,2018,4,Lenovo,377,0.024766784916568124
andaman-&-nicobar-islands,2018,4,Others,1372,0.09013270266719223
andaman-&-nicobar-islands,2019,4,Xiaomi,6259,0.24110169491525424
andaman-&-nicobar-islands,2019,4,Vivo,5190,0.19992295839753466
andaman-&-nicobar-islands,2019,4,Samsung,4900,0.18875192604006163
andaman-&-nicobar-islands,2019,4,Oppo,2329,0.08971494607087828
andaman-&-nicobar-islands,2019,4,Realme,1329,0.051194144838212635
andaman-&-nicobar-islands,2019,4,OnePlus,1124,0.04329738058551618
andaman-&-nicobar-islands,2019,4,Huawei,798,0.03073959938366718
andaman-&-nicobar-islands,2019,4,Motorola,682,0.026271186440677965
andaman-&-nicobar-islands,2019,4,Apple,678,0.026117103235747303
andaman-&-nicobar-islands,2019,4,Lenovo,488,0.018798151001540832
andaman-&-nicobar-islands,2019,4,Others,2183,0.08409090909090909
andaman-&-nicobar-islands,2020,4,Xiaomi,12398,0.23662111611573403
andaman-&-nicobar-islands,2020,4,Vivo,12275,0.23427360867241775
andaman-&-nicobar-islands,2020,4,Samsung,9938,0.18967096724940835
andaman-&-nicobar-islands,2020,4,Oppo,4723,0.0901404687380716
andaman-&-nicobar-islands,2020,4,Realme,2996,0.05717993739980151
andaman-&-nicobar-islands,2020,4,OnePlus,1638,0.031261928391480266
andaman-&-nicobar-islands,2020,4,Huawei,1472,0.028093747614321703
andaman-&-nicobar-islands,2020,4,Motorola,1032,0.019696160012214674
andaman-&-nicobar-islands,2020,4,Apple,973,0.018570119856477593
andaman-&-nicobar-islands,2020,4,Lenovo,708,0.01351248186884495
andaman-&-nicobar-islands,2020,4,Others,4243,0.08097946408122758
andaman-&-nicobar-islands,2021,4,Vivo,17597,0.24515185288381164
andaman-&-nicobar-islands,2021,4,Xiaomi,16968,0.2363889662858735
andaman-&-nicobar-islands,2021,4,Samsung,12574,0.17517414321538033
andaman-&-nicobar-islands,2021,4,Oppo,6127,0.08535803845082196
andaman-&-nicobar-islands,2021,4,Realme,5830,0.08122039565338535
andaman-&-nicobar-islands,2021,4,OnePlus,2691,0.03748955140707718
andaman-&-nicobar-islands,2021,4,Apple,1490,0.020757871273335192
andaman-&-nicobar-islands,2021,4,Huawei,1459,0.020325996099191977
andaman-&-nicobar-islands,2021,4,Tecno,1417,0.01974087489551407
andaman-&-nicobar-islands,2021,4,Motorola,1055,0.014697687378099749
andaman-&-nicobar-islands,2021,4,Others,4572,0.06369462245750905
andhra-pradesh,2018,4,Xiaomi,1753802,0.2557528652585838
andhra-pradesh,2018,4,Samsung,1388061,0.20241770616277957
andhra-pradesh,2018,4,Vivo,1011185,0.1474587559237024
andhra-pradesh,2018,4,Oppo,675093,0.09844724151643865
andhra-pradesh,2018,4,Realme,476746,0.06952275998121156
andhra-pradesh,2018,4,Motorola,250601,0.03654456078090136
andhra-pradesh,2018,4,OnePlus,210161,0.030647289668736397
andhra-pradesh,2018,4,Apple,209737,0.030585458735216172
andhra-pradesh,2018,4,Huawei,176237,0.025700231676424726
andhra-pradesh,2018,4,Lenovo,149583,0.021813340869707494
andhra-pradesh,2018,4,Others,556203,0.08110978942629789
andhra-pradesh,2019,4,Xiaomi,2985953,0.25395328393725297
andhra-pradesh,2019,4,Samsung,2379139,0.20234416348589282
andhra-pradesh,2019,4,Vivo,1922141,0.1634767925484545
andhra-pradesh,2019,4,Oppo,1241235,0.10556619758846043
andhra-pradesh,2019,4,Realme,844668,0.07183844234544604
andhra-pradesh,2019,4,Motorola,381692,0.03246264654955318
andhra-pradesh,2019,4,Huawei,317290,0.026985299989802584
andhra-pradesh,2019,4,Apple,308354,0.026225299231162617
andhra-pradesh,2019,4,OnePlus,286412,0.0243591469654869
andhra-pradesh,2019,4,Lenovo,208785,0.01775702309675985
andhra-pradesh,2019,4,Others,882214,0.07503170426172807
andhra-pradesh,2020,4,Xiaomi,4325662,0.2533098430509883
andhra-pradesh,2020,4,Samsung,3419866,0.20026662270778695
andhra-pradesh,2020,4,Vivo,2950572,0.1727848662772636
andhra-pradesh,2020,4,Oppo,1856052,0.10869000879275194
andhra-pradesh,2020,4,Realme,1361491,0.07972862223755187
andhra-pradesh,2020,4,Motorola,506158,0.02964050439886476
andhra-pradesh,2020,4,Huawei,437125,0.025597946659647302
andhra-pradesh,2020,4,Apple,394191,0.02308374078744759
andhra-pradesh,2020,4,OnePlus,336518,0.019706422222502008
andhra-pradesh,2020,4,Lenovo,276671,0.016201794681775874
andhra-pradesh,2020,4,Others,1212259,0.07098962818341979
andhra-pradesh,2021,4,Xiaomi,5518238,0.24537466690980744
andhra-pradesh,2021,4,Vivo,4381023,0.19480712128567224
andhra-pradesh,2021,4,Samsung,4017419,0.17863905996119264
andhra-pradesh,2021,4,Oppo,2580845,0.1147601792856419
andhra-pradesh,2021,4,Realme,2528884,0.11244967490592858
andhra-pradesh,2021,4,Apple,544986,0.024233416213745824
andhra-pradesh,2021,4,OnePlus,525373,0.023361302082006298
andhra-pradesh,2021,4,Motorola,474422,0.02109570848968179
andhra-pradesh,2021,4,Huawei,409934,0.01822817694796872
andhra-pradesh,2021,4,Lenovo,224391,0.009977798507885778
andhra-pradesh,2021,4,Others,1283514,0.05707289541046881
arunachal-pradesh,2018,4,Xiaomi,15097,0.24408264890383496
arunachal-pradesh,2018,4,Samsung,12580,0.20338873439824096
arunachal-pradesh,2018,4,Vivo,11624,0.18793248399405033
arunachal-pradesh,2018,4,Oppo,8328,0.13464398887667334
arunachal-pradesh,2018,4,Realme,3613,0.0584136325421975
arunachal-pradesh,2018,4,Apple,1517,0.02452628855978788
arunachal-pradesh,2018,4,Gionee,1188,0.01920713962361767
arunachal-pradesh,2018,4,Motorola,944,0.015262238892840976
arunachal-pradesh,2018,4,OnePlus,896,0.014486192847442281
arunachal-pradesh,2018,4,Lenovo,831,0.013435297160964884
arunachal-pradesh,2018,4,Others,5234,0.08462135420034922
arunachal-pradesh,2019,4,Xiaomi,31369,0.242566945816998
arunachal-pradesh,2019,4,Vivo,26787,0.20713573201568192
arunachal-pradesh,2019,4,Samsung,26087,0.20172284470426305
arunachal-pradesh,2019,4,Oppo,19208,0.14852962782533385
arunachal-pradesh,2019,4,Realme,7743,0.0598742663604519
arunachal-pradesh,2019,4,Apple,2811,0.02173660890342636
arunachal-pradesh,2019,4,Gionee,1983,0.015333936483633749
arunachal-pradesh,2019,4,Motorola,1637,0.012658423612560992
arunachal-pradesh,2019,4,Huawei,1581,0.012225392627647482
arunachal-pradesh,2019,4,OnePlus,1535,0.011869688604325671
arunachal-pradesh,2019,4,Others,8580,0.06634653304567703
arunachal-pradesh,2020,4,Vivo,53198,0.23000363177282396
arunachal-pradesh,2020,4,Xiaomi,53097,0.2295669543261332
arunachal-pradesh,2020,4,Samsung,45317,0.195929820313716
arunachal-pradesh,2020,4,Oppo,36466,0.15766217595074625
arunachal-pradesh,2020,4,Realme,16419,0.07098818809124396
arunachal-pradesh,2020,4,Apple,4188,0.01810698165090016
arunachal-pradesh,2020,4,Gionee,2611,0.01128876052781765
arunachal-pradesh,2020,4,Huawei,2424,0.010480258720578317
arunachal-pradesh,2020,4,Motorola,2149,0.00929128547463812
arunachal-pradesh,2020,4,OnePlus,2141,0.00925669716202895
arunachal-pradesh,2020,4,Others,13282,0.05742524600937343
arunachal-pradesh,2021,4,Vivo,74157,0.23546090733590733
arunachal-pradesh,2021,4,Xiaomi,72002,0.22861842105263158
arunachal-pradesh,2021,4,Samsung,54367,0.17262433956512904
arunachal-pradesh,2021,4,Oppo,48973,0.1554974852672221
arunachal-pradesh,2021,4,Realme,31777,0.10089730237756553
arunachal-pradesh,2021,4,Apple,6342,0.02013691322901849
arunachal-pradesh,2021,4,OnePlus,3900,0.01238315383052225
arunachal-pradesh,2021,4,Gionee,2500,0.007937919122129648
arunachal-pradesh,2021,4,Huawei,2496,0.007925218451534242
arunachal-pradesh,2021,4,Motorola,2316,0.007353688274740906
arunachal-pradesh,2021,4,Others,16114,0.05116465149359886
assam,2018,4,Xiaomi,277115,0.2666564667188211
assam,2018,4,Vivo,169404,0.16301056271957554
assam,2018,4,Samsung,167786,0.16145362728428314
assam,2018,4,Oppo,122447,0.11782575602302109
assam,2018,4,Realme,70255,0.0676035222536881
assam,2018,4,Motorola,21507,0.020695309274928048
assam,2018,4,Lenovo,20275,0.019509805902690573
assam,2018,4,Gionee,20028,0.01927212787270465
assam,2018,4,Asus,19175,0.018451320748907114
assam,2018,4,Huawei,17882,0.017207119563596194
assam,2018,4,Others,133347,0.12831438163778447
assam,2019,4,Xiaomi,517791,0.2667348368551736
assam,2019,4,Vivo,355815,0.18329452612274755
assam,2019,4,Samsung,302655,0.15590968566159424
assam,2019,4,Oppo,254644,0.1311773008726471
assam,2019,4,Realme,140535,0.0723951947744202
assam,2019,4,Huawei,35293,0.0181808347327969
assam,2019,4,Gionee,33438,0.017225250100452293
assam,2019,4,Motorola,32828,0.01691101472270016
assam,2019,4,Asus,28977,0.014927210723153481
assam,2019,4,Lenovo,26680,0.013743934226929457
assam,2019,4,Others,212564,0.10950021120738504
assam,2020,4,Xiaomi,792324,0.25508209028982154
assam,2020,4,Vivo,627536,0.20202997083530658
assam,2020,4,Samsung,465965,0.15001353764608505
assam,2020,4,Oppo,431650,0.1389661101690741
assam,2020,4,Realme,271012,0.08725004853270267
assam,2020,4,Huawei,50719,0.016328558187571573
assam,2020,4,Motorola,42173,0.013577244907124666
assam,2020,4,Gionee,41431,0.01333836420807346
assam,2020,4,Asus,40998,0.013198963476686434
assam,2020,4,Lenovo,34802,0.011204213057115988
assam,2020,4,Others,307543,0.09901089869043798
assam,2021,4,Xiaomi,1040847,0.2472560873491035
