State,Year,Quarter,District,RegisteredUser,AppOpens
Chhattisgarh,2018,Q2 (Apr - Jun),mungeli district,11084,0
Chhattisgarh,2018,Q2 (Apr - Jun),bilaspur district,94888,0
Chhattisgarh,2018,Q2 (Apr - Jun),balrampur district,12903,0
Chhattisgarh,2018,Q2 (Apr - Jun),bijapur district,5454,0
Chhattisgarh,2018,Q2 (Apr - Jun),bemetara district,17548,0
Chhattisgarh,2018,Q2 (Apr - Jun),bastar district,19718,0
Chhattisgarh,2018,Q2 (Apr - Jun),kondagaon district,8321,0
Chhattisgarh,2018,Q2 (Apr - Jun),mahasamund district,28208,0
Chhattisgarh,2018,Q3 (Jul - Sep),dhamtari district,29271,0
Chhattisgarh,2018,Q3 (Jul - Sep),korba district,68746,0
Chhattisgarh,2018,Q3 (Jul - Sep),surajpur district,23142,0
Chhattisgarh,2018,Q3 (Jul - Sep),baloda bazar district,43335,0
Chhattisgarh,2018,Q3 (Jul - Sep),sukma district,6694,0
Chhattisgarh,2018,Q3 (Jul - Sep),raigarh district,89911,0
Chhattisgarh,2018,Q3 (Jul - Sep),janjgir champa district,77834,0
Chhattisgarh,2018,Q3 (Jul - Sep),jashpur district,22329,0
Chhattisgarh,2018,Q3 (Jul - Sep),balod district,26663,0
Chhattisgarh,2018,Q3 (Jul - Sep),kabirdham district,21958,0
Chhattisgarh,2018,Q3 (Jul - Sep),surguja district,40025,0
Chhattisgarh,2018,Q3 (Jul - Sep),dantewada district,10338,0
Chhattisgarh,2018,Q3 (Jul - Sep),gariyaband district,16672,0
Chhattisgarh,2018,Q3 (Jul - Sep),durg district,150753,0
Chhattisgarh,2018,Q3 (Jul - Sep),rajnandgaon district,50271,0
Chhattisgarh,2018,Q3 (Jul - Sep),raipur district,231146,0
Chhattisgarh,2018,Q3 (Jul - Sep),narayanpur district,3509,0
Chhattisgarh,2018,Q3 (Jul - Sep),kanker district,21379,0
Chhattisgarh,2018,Q3 (Jul - Sep),korea district,27036,0
Chhattisgarh,2018,Q3 (Jul - Sep),mungeli district,15251,0
Chhattisgarh,2018,Q3 (Jul - Sep),bilaspur district,119415,0
Chhattisgarh,2018,Q3 (Jul - Sep),balrampur district,17026,0
Chhattisgarh,2018,Q3 (Jul - Sep),bijapur district,7785,0
Chhattisgarh,2018,Q3 (Jul - Sep),bemetara district,23151,0
Chhattisgarh,2018,Q3 (Jul - Sep),bastar district,25975,0
Chhattisgarh,2018,Q3 (Jul - Sep),kondagaon district,11549,0
Chhattisgarh,2018,Q3 (Jul - Sep),mahasamund district,36628,0
Chhattisgarh,2018,Q4 (Oct - Dec),dhamtari district,37491,0
Chhattisgarh,2018,Q4 (Oct - Dec),korba district,88680,0
Chhattisgarh,2018,Q4 (Oct - Dec),surajpur district,32284,0
Chhattisgarh,2018,Q4 (Oct - Dec),baloda bazar district,60270,0
Chhattisgarh,2018,Q4 (Oct - Dec),sukma district,9189,0
Chhattisgarh,2018,Q4 (Oct - Dec),raigarh district,116785,0
Chhattisgarh,2018,Q4 (Oct - Dec),janjgir champa district,107156,0
Chhattisgarh,2018,Q4 (Oct - Dec),jashpur district,29087,0
Chhattisgarh,2018,Q4 (Oct - Dec),balod district,35319,0
Chhattisgarh,2018,Q4 (Oct - Dec),kabirdham district,30021,0
Chhattisgarh,2018,Q4 (Oct - Dec),surguja district,51776,0
Chhattisgarh,2018,Q4 (Oct - Dec),dantewada district,14264,0
Chhattisgarh,2018,Q4 (Oct - Dec),gariyaband district,21861,0
Chhattisgarh,2018,Q4 (Oct - Dec),durg district,185746,0
Chhattisgarh,2018,Q4 (Oct - Dec),rajnandgaon district,64828,0
Chhattisgarh,2018,Q4 (Oct - Dec),raipur district,289198,0
Chhattisgarh,2018,Q4 (Oct - Dec),narayanpur district,4918,0
Chhattisgarh,2018,Q4 (Oct - Dec),kanker district,29452,0
Chhattisgarh,2018,Q4 (Oct - Dec),korea district,35408,0
Chhattisgarh,2018,Q4 (Oct - Dec),mungeli district,21506,0
Chhattisgarh,2018,Q4 (Oct - Dec),bilaspur district,153972,0
Chhattisgarh,2018,Q4 (Oct - Dec),balrampur district,22409,0
Chhattisgarh,2018,Q4 (Oct - Dec),bijapur district,10547,0
Chhattisgarh,2018,Q4 (Oct - Dec),bemetara district,30148,0
Chhattisgarh,2018,Q4 (Oct - Dec),bastar district,34157,0
Chhattisgarh,2018,Q4 (Oct - Dec),kondagaon district,15900,0
Chhattisgarh,2018,Q4 (Oct - Dec),mahasamund district,47626,0
Chhattisgarh,2019,Q1 (Jan - Mar),dhamtari district,44369,0
Chhattisgarh,2019,Q1 (Jan - Mar),korba district,105570,0
Chhattisgarh,2019,Q1 (Jan - Mar),surajpur district,39128,0
Chhattisgarh,2019,Q1 (Jan - Mar),baloda bazar district,73454,0
Chhattisgarh,2019,Q1 (Jan - Mar),sukma district,11464,0
Chhattisgarh,2019,Q1 (Jan - Mar),raigarh district,139059,0
Chhattisgarh,2019,Q1 (Jan - Mar),janjgir champa district,130114,0
Chhattisgarh,2019,Q1 (Jan - Mar),jashpur district,35598,0
Chhattisgarh,2019,Q1 (Jan - Mar),balod district,42804,0
Chhattisgarh,2019,Q1 (Jan - Mar),kabirdham district,36729,0
Chhattisgarh,2019,Q1 (Jan - Mar),surguja district,62300,0
Chhattisgarh,2019,Q1 (Jan - Mar),dantewada district,17514,0
Chhattisgarh,2019,Q1 (Jan - Mar),gariyaband district,25995,0
Chhattisgarh,2019,Q1 (Jan - Mar),durg district,224058,0
Chhattisgarh,2019,Q1 (Jan - Mar),rajnandgaon district,78320,0
Chhattisgarh,2019,Q1 (Jan - Mar),raipur district,351495,0
Chhattisgarh,2019,Q1 (Jan - Mar),narayanpur district,6161,0
Chhattisgarh,2019,Q1 (Jan - Mar),kanker district,36502,0
Chhattisgarh,2019,Q1 (Jan - Mar),korea district,41970,0
Chhattisgarh,2019,Q1 (Jan - Mar),mungeli district,26640,0
Chhattisgarh,2019,Q1 (Jan - Mar),bilaspur district,184636,0
Chhattisgarh,2019,Q1 (Jan - Mar),balrampur district,27410,0
Chhattisgarh,2019,Q1 (Jan - Mar),bijapur district,12986,0
Chhattisgarh,2019,Q1 (Jan - Mar),bemetara district,36315,0
Chhattisgarh,2019,Q1 (Jan - Mar),bastar district,41559,0
Chhattisgarh,2019,Q1 (Jan - Mar),kondagaon district,19795,0
Chhattisgarh,2019,Q1 (Jan - Mar),mahasamund district,56953,0
Chhattisgarh,2019,Q2 (Apr - Jun),dhamtari district,51082,244565
Chhattisgarh,2019,Q2 (Apr - Jun),korba district,119540,662066
Chhattisgarh,2019,Q2 (Apr - Jun),surajpur district,44750,235751
Chhattisgarh,2019,Q2 (Apr - Jun),baloda bazar district,84458,425931
Chhattisgarh,2019,Q2 (Apr - Jun),sukma district,13471,98219
Chhattisgarh,2019,Q2 (Apr - Jun),raigarh district,156178,865029
Chhattisgarh,2019,Q2 (Apr - Jun),janjgir champa district,147327,1438732
Chhattisgarh,2019,Q2 (Apr - Jun),jashpur district,41149,228722
Chhattisgarh,2019,Q2 (Apr - Jun),balod district,49629,240564
Chhattisgarh,2019,Q2 (Apr - Jun),kabirdham district,43027,215125
Chhattisgarh,2019,Q2 (Apr - Jun),surguja district,71076,405600
Chhattisgarh,2019,Q2 (Apr - Jun),dantewada district,20567,125417
Chhattisgarh,2019,Q2 (Apr - Jun),gariyaband district,29595,162851
Chhattisgarh,2019,Q2 (Apr - Jun),durg district,257557,1648362
Chhattisgarh,2019,Q2 (Apr - Jun),rajnandgaon district,91198,489047
Chhattisgarh,2019,Q2 (Apr - Jun),raipur district,405792,2581481
Chhattisgarh,2019,Q2 (Apr - Jun),narayanpur district,7310,49504
Chhattisgarh,2019,Q2 (Apr - Jun),kanker district,42656,254042
Chhattisgarh,2019,Q2 (Apr - Jun),korea district,47709,253724
Chhattisgarh,2019,Q2 (Apr - Jun),mungeli district,31068,152275
Chhattisgarh,2019,Q2 (Apr - Jun),bilaspur district,209039,1112112
Chhattisgarh,2019,Q2 (Apr - Jun),balrampur district,32072,214601
Chhattisgarh,2019,Q2 (Apr - Jun),bijapur district,15866,129715
Chhattisgarh,2019,Q2 (Apr - Jun),bemetara district,41571,196879
Chhattisgarh,2019,Q2 (Apr - Jun),bastar district,48796,306391
Chhattisgarh,2019,Q2 (Apr - Jun),kondagaon district,23091,131604
Chhattisgarh,2019,Q2 (Apr - Jun),mahasamund district,65492,338064
Chhattisgarh,2019,Q3 (Jul - Sep),dhamtari district,56490,810027
Chhattisgarh,2019,Q3 (Jul - Sep),korba district,131850,2213038
Chhattisgarh,2019,Q3 (Jul - Sep),surajpur district,49502,764794
Chhattisgarh,2019,Q3 (Jul - Sep),baloda bazar district,93416,1376499
Chhattisgarh,2019,Q3 (Jul - Sep),sukma district,15279,358888
Chhattisgarh,2019,Q3 (Jul - Sep),raigarh district,170447,2931974
Chhattisgarh,2019,Q3 (Jul - Sep),janjgir champa district,161232,4799392
Chhattisgarh,2019,Q3 (Jul - Sep),jashpur district,45820,746166
Chhattisgarh,2019,Q3 (Jul - Sep),balod district,54969,765025
Chhattisgarh,2019,Q3 (Jul - Sep),kabirdham district,47753,690082
Chhattisgarh,2019,Q3 (Jul - Sep),surguja district,79170,1391594
Chhattisgarh,2019,Q3 (Jul - Sep),dantewada district,23099,484093
Chhattisgarh,2019,Q3 (Jul - Sep),gariyaband district,32332,539156
Chhattisgarh,2019,Q3 (Jul - Sep),durg district,289803,6359888
Chhattisgarh,2019,Q3 (Jul - Sep),rajnandgaon district,101617,1607087
Chhattisgarh,2019,Q3 (Jul - Sep),raipur district,455785,9790726
Chhattisgarh,2019,Q3 (Jul - Sep),narayanpur district,8433,184839
Chhattisgarh,2019,Q3 (Jul - Sep),kanker district,48053,894748
Chhattisgarh,2019,Q3 (Jul - Sep),korea district,52380,850973
Chhattisgarh,2019,Q3 (Jul - Sep),mungeli district,34553,460088
Chhattisgarh,2019,Q3 (Jul - Sep),bilaspur district,230364,3912885
Chhattisgarh,2019,Q3 (Jul - Sep),balrampur district,35659,702832
Chhattisgarh,2019,Q3 (Jul - Sep),bijapur district,18114,447468
Chhattisgarh,2019,Q3 (Jul - Sep),bemetara district,45724,628499
Chhattisgarh,2019,Q3 (Jul - Sep),bastar district,55159,1064689
Chhattisgarh,2019,Q3 (Jul - Sep),kondagaon district,26016,469456
Chhattisgarh,2019,Q3 (Jul - Sep),mahasamund district,72039,1117435
Chhattisgarh,2019,Q4 (Oct - Dec),dhamtari district,62892,1008239
Chhattisgarh,2019,Q4 (Oct - Dec),korba district,147812,2916267
Chhattisgarh,2019,Q4 (Oct - Dec),surajpur district,56178,1035362
Chhattisgarh,2019,Q4 (Oct - Dec),baloda bazar district,104742,1738972
Chhattisgarh,2019,Q4 (Oct - Dec),sukma district,17353,417726
Chhattisgarh,2019,Q4 (Oct - Dec),raigarh district,189764,3695931
Chhattisgarh,2019,Q4 (Oct - Dec),janjgir champa district,180195,5052142
Chhattisgarh,2019,Q4 (Oct - Dec),jashpur district,52404,952488
Chhattisgarh,2019,Q4 (Oct - Dec),balod district,61992,973572
Chhattisgarh,2019,Q4 (Oct - Dec),kabirdham district,53883,867524
Chhattisgarh,2019,Q4 (Oct - Dec),surguja district,89297,1819241
Chhattisgarh,2019,Q4 (Oct - Dec),dantewada district,26072,563817
Chhattisgarh,2019,Q4 (Oct - Dec),gariyaband district,35867,668602
Chhattisgarh,2019,Q4 (Oct - Dec),durg district,321390,7774097
Chhattisgarh,2019,Q4 (Oct - Dec),rajnandgaon district,113965,2012284
Chhattisgarh,2019,Q4 (Oct - Dec),raipur district,506122,12048734
Chhattisgarh,2019,Q4 (Oct - Dec),narayanpur district,9565,214657
Chhattisgarh,2019,Q4 (Oct - Dec),kanker district,55163,1096822
Chhattisgarh,2019,Q4 (Oct - Dec),korea district,58350,1109403
Chhattisgarh,2019,Q4 (Oct - Dec),mungeli district,39349,594474
Chhattisgarh,2019,Q4 (Oct - Dec),bilaspur district,257350,5102876
Chhattisgarh,2019,Q4 (Oct - Dec),balrampur district,40750,945187
Chhattisgarh,2019,Q4 (Oct - Dec),bijapur district,20595,521944
Chhattisgarh,2019,Q4 (Oct - Dec),bemetara district,51556,800417
Chhattisgarh,2019,Q4 (Oct - Dec),bastar district,62497,1336400
Chhattisgarh,2019,Q4 (Oct - Dec),kondagaon district,29904,567001
Chhattisgarh,2019,Q4 (Oct - Dec),mahasamund district,80893,1444798
Chhattisgarh,2020,Q1 (Jan - Mar),dhamtari district,69476,1177494
Chhattisgarh,2020,Q1 (Jan - Mar),korba district,163500,3380235
Chhattisgarh,2020,Q1 (Jan - Mar),surajpur district,61965,1215929
Chhattisgarh,2020,Q1 (Jan - Mar),baloda bazar district,115907,2012251
Chhattisgarh,2020,Q1 (Jan - Mar),sukma district,19269,475708
Chhattisgarh,2020,Q1 (Jan - Mar),raigarh district,208338,4122100
Chhattisgarh,2020,Q1 (Jan - Mar),janjgir champa district,199431,5380445
Chhattisgarh,2020,Q1 (Jan - Mar),jashpur district,59351,1142635
Chhattisgarh,2020,Q1 (Jan - Mar),balod district,68724,1158964
Chhattisgarh,2020,Q1 (Jan - Mar),kabirdham district,60401,1057255
Chhattisgarh,2020,Q1 (Jan - Mar),surguja district,98711,2073053
Chhattisgarh,2020,Q1 (Jan - Mar),dantewada district,28594,616147
Chhattisgarh,2020,Q1 (Jan - Mar),gariyaband district,39610,776632
Chhattisgarh,2020,Q1 (Jan - Mar),durg district,353311,8458392
Chhattisgarh,2020,Q1 (Jan - Mar),rajnandgaon district,126699,2331110
Chhattisgarh,2020,Q1 (Jan - Mar),raipur district,559412,13218985
Chhattisgarh,2020,Q1 (Jan - Mar),narayanpur district,10674,243682
Chhattisgarh,2020,Q1 (Jan - Mar),kanker district,61891,1271896
Chhattisgarh,2020,Q1 (Jan - Mar),korea district,63940,1222085
Chhattisgarh,2020,Q1 (Jan - Mar),mungeli district,44303,709713
Chhattisgarh,2020,Q1 (Jan - Mar),bilaspur district,284320,5715987
Chhattisgarh,2020,Q1 (Jan - Mar),balrampur district,45517,1106067
Chhattisgarh,2020,Q1 (Jan - Mar),bijapur district,22680,585981
Chhattisgarh,2020,Q1 (Jan - Mar),bemetara district,57258,960530
Chhattisgarh,2020,Q1 (Jan - Mar),bastar district,69623,1449271
Chhattisgarh,2020,Q1 (Jan - Mar),kondagaon district,33640,683246
Chhattisgarh,2020,Q1 (Jan - Mar),mahasamund district,89942,1678308
Chhattisgarh,2020,Q2 (Apr - Jun),dhamtari district,79474,1468767
Chhattisgarh,2020,Q2 (Apr - Jun),korba district,184399,3948081
Chhattisgarh,2020,Q2 (Apr - Jun),surajpur district,70166,1405897
Chhattisgarh,2020,Q2 (Apr - Jun),baloda bazar district,134301,2668360
Chhattisgarh,2020,Q2 (Apr - Jun),sukma district,21763,549741
Chhattisgarh,2020,Q2 (Apr - Jun),raigarh district,233080,4690035
Chhattisgarh,2020,Q2 (Apr - Jun),janjgir champa district,227716,6918427
Chhattisgarh,2020,Q2 (Apr - Jun),jashpur district,69500,1452221
Chhattisgarh,2020,Q2 (Apr - Jun),balod district,79582,1524125
Chhattisgarh,2020,Q2 (Apr - Jun),kabirdham district,70568,1431151
Chhattisgarh,2020,Q2 (Apr - Jun),surguja district,110765,2058364
Chhattisgarh,2020,Q2 (Apr - Jun),dantewada district,32064,696614
Chhattisgarh,2020,Q2 (Apr - Jun),gariyaband district,45722,991698
Chhattisgarh,2020,Q2 (Apr - Jun),durg district,387874,7558938
Chhattisgarh,2020,Q2 (Apr - Jun),rajnandgaon district,146098,2708564
Chhattisgarh,2020,Q2 (Apr - Jun),raipur district,616931,11213191
Chhattisgarh,2020,Q2 (Apr - Jun),narayanpur district,12161,286793
Chhattisgarh,2020,Q2 (Apr - Jun),kanker district,71514,1475562
Chhattisgarh,2020,Q2 (Apr - Jun),korea district,71660,1446776
Chhattisgarh,2020,Q2 (Apr - Jun),mungeli district,52631,1062091
Chhattisgarh,2020,Q2 (Apr - Jun),bilaspur district,316669,5179966
Chhattisgarh,2020,Q2 (Apr - Jun),balrampur district,52871,1426830
Chhattisgarh,2020,Q2 (Apr - Jun),bijapur district,25534,653143
Chhattisgarh,2020,Q2 (Apr - Jun),bemetara district,67115,1295832
Chhattisgarh,2020,Q2 (Apr - Jun),bastar district,78865,1465913
Chhattisgarh,2020,Q2 (Apr - Jun),kondagaon district,39518,800308
Chhattisgarh,2020,Q2 (Apr - Jun),mahasamund district,103117,2115996
Chhattisgarh,2020,Q3 (Jul - Sep),dhamtari district,89508,1790640
Chhattisgarh,2020,Q3 (Jul - Sep),korba district,204448,5026826
Chhattisgarh,2020,Q3 (Jul - Sep),surajpur district,79907,1841882
Chhattisgarh,2020,Q3 (Jul - Sep),baloda bazar district,150975,3180025
Chhattisgarh,2020,Q3 (Jul - Sep),sukma district,24549,686019
Chhattisgarh,2020,Q3 (Jul - Sep),raigarh district,259581,6050750
Chhattisgarh,2020,Q3 (Jul - Sep),janjgir champa district,254275,7932461
Chhattisgarh,2020,Q3 (Jul - Sep),jashpur district,79728,1779430
Chhattisgarh,2020,Q3 (Jul - Sep),balod district,90672,1852205
Chhattisgarh,2020,Q3 (Jul - Sep),kabirdham district,80175,1675078
Chhattisgarh,2020,Q3 (Jul - Sep),surguja district,124081,2702225
Chhattisgarh,2020,Q3 (Jul - Sep),dantewada district,36067,879769
Chhattisgarh,2020,Q3 (Jul - Sep),gariyaband district,51653,1150137
Chhattisgarh,2020,Q3 (Jul - Sep),durg district,426052,9982427
Chhattisgarh,2020,Q3 (Jul - Sep),rajnandgaon district,166416,3393874
Chhattisgarh,2020,Q3 (Jul - Sep),raipur district,679027,15366190
Chhattisgarh,2020,Q3 (Jul - Sep),narayanpur district,14025,345785
Chhattisgarh,2020,Q3 (Jul - Sep),kanker district,81984,1829476
Chhattisgarh,2020,Q3 (Jul - Sep),korea district,80301,1900699
Chhattisgarh,2020,Q3 (Jul - Sep),mungeli district,59262,1136447
Chhattisgarh,2020,Q3 (Jul - Sep),bilaspur district,349586,6741931
Chhattisgarh,2020,Q3 (Jul - Sep),balrampur district,60953,1765014
Chhattisgarh,2020,Q3 (Jul - Sep),bijapur district,28816,818562
Chhattisgarh,2020,Q3 (Jul - Sep),bemetara district,75434,1493775
Chhattisgarh,2020,Q3 (Jul - Sep),bastar district,89115,1887298
Chhattisgarh,2020,Q3 (Jul - Sep),kondagaon district,46426,1027009
Chhattisgarh,2020,Q3 (Jul - Sep),mahasamund district,116370,2682672
Chhattisgarh,2020,Q4 (Oct - Dec),dhamtari district,98847,2126899
Chhattisgarh,2020,Q4 (Oct - Dec),korba district,225683,6558373
Chhattisgarh,2020,Q4 (Oct - Dec),surajpur district,88664,2246840
Chhattisgarh,2020,Q4 (Oct - Dec),baloda bazar district,166144,3814790
Chhattisgarh,2020,Q4 (Oct - Dec),sukma district,27330,815257
Chhattisgarh,2020,Q4 (Oct - Dec),raigarh district,285081,7364429
Chhattisgarh,2020,Q4 (Oct - Dec),janjgir champa district,280474,9105398
Chhattisgarh,2020,Q4 (Oct - Dec),jashpur district,89257,2102983
Chhattisgarh,2020,Q4 (Oct - Dec),balod district,100350,2189077
Chhattisgarh,2020,Q4 (Oct - Dec),kabirdham district,88933,1989496
Chhattisgarh,2020,Q4 (Oct - Dec),surguja district,137221,3521741
Chhattisgarh,2020,Q4 (Oct - Dec),dantewada district,39961,1055061
Chhattisgarh,2020,Q4 (Oct - Dec),gariyaband district,57272,1386237
Chhattisgarh,2020,Q4 (Oct - Dec),durg district,464870,13127877
Chhattisgarh,2020,Q4 (Oct - Dec),rajnandgaon district,185815,4241707
Chhattisgarh,2020,Q4 (Oct - Dec),raipur district,743167,20905346
Chhattisgarh,2020,Q4 (Oct - Dec),narayanpur district,15750,421492
Chhattisgarh,2020,Q4 (Oct - Dec),kanker district,92301,2228681
Chhattisgarh,2020,Q4 (Oct - Dec),korea district,88889,2406865
Chhattisgarh,2020,Q4 (Oct - Dec),mungeli district,65436,1341069
Chhattisgarh,2020,Q4 (Oct - Dec),bilaspur district,384115,9161691
Chhattisgarh,2020,Q4 (Oct - Dec),balrampur district,68062,1962238
Chhattisgarh,2020,Q4 (Oct - Dec),bijapur district,32020,1041505
Chhattisgarh,2020,Q4 (Oct - Dec),bemetara district,83243,1751930
Chhattisgarh,2020,Q4 (Oct - Dec),bastar district,99717,2428240
Chhattisgarh,2020,Q4 (Oct - Dec),kondagaon district,52463,1246665
Chhattisgarh,2020,Q4 (Oct - Dec),mahasamund district,129536,3358580
Chhattisgarh,2021,Q1 (Jan - Mar),dhamtari district,106354,2232426
Chhattisgarh,2021,Q1 (Jan - Mar),korba district,243030,7257892
Chhattisgarh,2021,Q1 (Jan - Mar),surajpur district,96117,2611995
Chhattisgarh,2021,Q1 (Jan - Mar),baloda bazar district,178486,4204907
Chhattisgarh,2021,Q1 (Jan - Mar),sukma district,29547,879035
Chhattisgarh,2021,Q1 (Jan - Mar),raigarh district,306712,8346426
Chhattisgarh,2021,Q1 (Jan - Mar),janjgir champa district,301931,9881334
Chhattisgarh,2021,Q1 (Jan - Mar),jashpur district,96584,2306566
Chhattisgarh,2021,Q1 (Jan - Mar),balod district,107814,2315276
Chhattisgarh,2021,Q1 (Jan - Mar),kabirdham district,96069,2239620
Chhattisgarh,2021,Q1 (Jan - Mar),surguja district,147969,4112955
Chhattisgarh,2021,Q1 (Jan - Mar),dantewada district,43171,1131007
Chhattisgarh,2021,Q1 (Jan - Mar),gariyaband district,61687,1473412
Chhattisgarh,2021,Q1 (Jan - Mar),durg district,498453,14831934
Chhattisgarh,2021,Q1 (Jan - Mar),rajnandgaon district,200572,4865613
Chhattisgarh,2021,Q1 (Jan - Mar),raipur district,800224,24692422
Chhattisgarh,2021,Q1 (Jan - Mar),narayanpur district,17030,425638
Chhattisgarh,2021,Q1 (Jan - Mar),kanker district,99897,2351676
Chhattisgarh,2021,Q1 (Jan - Mar),korea district,96149,2685639
Chhattisgarh,2021,Q1 (Jan - Mar),mungeli district,70557,1531522
Chhattisgarh,2021,Q1 (Jan - Mar),bilaspur district,413692,11193132
Chhattisgarh,2021,Q1 (Jan - Mar),balrampur district,73826,2249510
Chhattisgarh,2021,Q1 (Jan - Mar),bijapur district,34702,1108201
Chhattisgarh,2021,Q1 (Jan - Mar),bemetara district,89481,1910858
Chhattisgarh,2021,Q1 (Jan - Mar),bastar district,107818,2740623
Chhattisgarh,2021,Q1 (Jan - Mar),kondagaon district,57107,1323116
Chhattisgarh,2021,Q1 (Jan - Mar),mahasamund district,139572,3745969
Chhattisgarh,2021,Q2 (Apr - Jun),dhamtari district,113769,4464656
Chhattisgarh,2021,Q2 (Apr - Jun),korba district,260168,11814325
Chhattisgarh,2021,Q2 (Apr - Jun),surajpur district,103184,6798211
Chhattisgarh,2021,Q2 (Apr - Jun),baloda bazar district,191114,8378757
Chhattisgarh,2021,Q2 (Apr - Jun),sukma district,31825,2245148
Chhattisgarh,2021,Q2 (Apr - Jun),raigarh district,328664,12301515
Chhattisgarh,2021,Q2 (Apr - Jun),janjgir champa district,322297,14544124
Chhattisgarh,2021,Q2 (Apr - Jun),jashpur district,104482,7710351
Chhattisgarh,2021,Q2 (Apr - Jun),balod district,115485,5155212
Chhattisgarh,2021,Q2 (Apr - Jun),kabirdham district,103257,5323462
Chhattisgarh,2021,Q2 (Apr - Jun),surguja district,158949,6989066
Chhattisgarh,2021,Q2 (Apr - Jun),dantewada district,46424,2354791
Chhattisgarh,2021,Q2 (Apr - Jun),gariyaband district,66482,4445890
Chhattisgarh,2021,Q2 (Apr - Jun),durg district,531550,12403562
Chhattisgarh,2021,Q2 (Apr - Jun),rajnandgaon district,215143,10469078
Chhattisgarh,2021,Q2 (Apr - Jun),raipur district,855848,24005556
Chhattisgarh,2021,Q2 (Apr - Jun),narayanpur district,18307,996566
Chhattisgarh,2021,Q2 (Apr - Jun),kanker district,107701,6443903
Chhattisgarh,2021,Q2 (Apr - Jun),korea district,103611,6376837
Chhattisgarh,2021,Q2 (Apr - Jun),mungeli district,75644,3600246
Chhattisgarh,2021,Q2 (Apr - Jun),bilaspur district,442330,14110873
Chhattisgarh,2021,Q2 (Apr - Jun),balrampur district,79703,8600032
Chhattisgarh,2021,Q2 (Apr - Jun),bijapur district,37320,2519855
Chhattisgarh,2021,Q2 (Apr - Jun),bemetara district,96198,5123252
Chhattisgarh,2021,Q2 (Apr - Jun),bastar district,115879,5575817
Chhattisgarh,2021,Q2 (Apr - Jun),kondagaon district,61738,4297614
Chhattisgarh,2021,Q2 (Apr - Jun),mahasamund district,149983,8736018
Chhattisgarh,2021,Q3 (Jul - Sep),dhamtari district,122349,5603133
Chhattisgarh,2021,Q3 (Jul - Sep),korba district,279897,16623063
Chhattisgarh,2021,Q3 (Jul - Sep),surajpur district,111753,9477903
Chhattisgarh,2021,Q3 (Jul - Sep),baloda bazar district,205941,10767066
Chhattisgarh,2021,Q3 (Jul - Sep),sukma district,34529,3197451
Chhattisgarh,2021,Q3 (Jul - Sep),raigarh district,354087,17052359
Chhattisgarh,2021,Q3 (Jul - Sep),janjgir champa district,346366,17403707
Chhattisgarh,2021,Q3 (Jul - Sep),jashpur district,113637,9804141
Chhattisgarh,2021,Q3 (Jul - Sep),balod district,124200,6355356
Chhattisgarh,2021,Q3 (Jul - Sep),kabirdham district,111708,6730485
Chhattisgarh,2021,Q3 (Jul - Sep),surguja district,171276,10031433
Chhattisgarh,2021,Q3 (Jul - Sep),dantewada district,50242,3121282
Chhattisgarh,2021,Q3 (Jul - Sep),gariyaband district,71885,6272737
Chhattisgarh,2021,Q3 (Jul - Sep),durg district,568361,16727312
Chhattisgarh,2021,Q3 (Jul - Sep),rajnandgaon district,232140,14066183
Chhattisgarh,2021,Q3 (Jul - Sep),raipur district,917950,34032629
Chhattisgarh,2021,Q3 (Jul - Sep),narayanpur district,19877,1332425
Chhattisgarh,2021,Q3 (Jul - Sep),kanker district,116559,8813895
Chhattisgarh,2021,Q3 (Jul - Sep),korea district,111913,8619169
Chhattisgarh,2021,Q3 (Jul - Sep),mungeli district,81387,4340738
Chhattisgarh,2021,Q3 (Jul - Sep),bilaspur district,474660,19564262
Chhattisgarh,2021,Q3 (Jul - Sep),balrampur district,86704,11635114
Chhattisgarh,2021,Q3 (Jul - Sep),bijapur district,40492,3474467
Chhattisgarh,2021,Q3 (Jul - Sep),bemetara district,103776,5967838
Chhattisgarh,2021,Q3 (Jul - Sep),bastar district,125186,7716420
Chhattisgarh,2021,Q3 (Jul - Sep),kondagaon district,67316,6141062
Chhattisgarh,2021,Q3 (Jul - Sep),mahasamund district,161893,11614446
Chhattisgarh,2021,Q4 (Oct - Dec),dhamtari district,130540,4563914
Chhattisgarh,2021,Q4 (Oct - Dec),korba district,299191,15291693
Chhattisgarh,2021,Q4 (Oct - Dec),surajpur district,119950,5888039
Chhattisgarh,2021,Q4 (Oct - Dec),baloda bazar district,220188,9299441
Chhattisgarh,2021,Q4 (Oct - Dec),sukma district,37238,1683971
Chhattisgarh,2021,Q4 (Oct - Dec),raigarh district,378507,18123023
Chhattisgarh,2021,Q4 (Oct - Dec),janjgir champa district,368980,19120514
Chhattisgarh,2021,Q4 (Oct - Dec),jashpur district,122371,5203432
Chhattisgarh,2021,Q4 (Oct - Dec),balod district,132353,4855195
Chhattisgarh,2021,Q4 (Oct - Dec),kabirdham district,119692,4796979
Chhattisgarh,2021,Q4 (Oct - Dec),surguja district,183559,9370119
Chhattisgarh,2021,Q4 (Oct - Dec),dantewada district,53888,2137469
Chhattisgarh,2021,Q4 (Oct - Dec),gariyaband district,77202,3266847
Chhattisgarh,2021,Q4 (Oct - Dec),durg district,604621,26669512
